ID,TIMESTAMP,L0013,L0002,L0005,L0008,ZD_P,FD_R,L0014,L0015,L0016,L0018,L0019,L0020,L0039,L0040,L0041,L0042,L0049,L0050,L0070,L0069,L0064,L0052,L0057,L0058,L0059,L0054,L0055,L0056,L0136,L0137,L0138,L0139,L0140,L0141,L0142,L0143,L0144,L0145,L0146,L0147
37652386,1655213297785 ,319.5891,0,155.7292,5.208333,4704.99073,160.937533,94.12,93.05,91.6,54.18,2.082972,2.082972,-297.7432,197.9167,-369.2129,192.7083,3233.073,9.201388,-3566.551,100.48,354.7859,96.35416,144.8353,72.09537,169.1556,41.78819,40.86806,41.31944,1.75926,1.116898,1.498842,57.22222,56.37153,55.46875,128.5739,156.5089,143.7569,2.193288,2.193288,2.268518
37652387,1655213299786 ,310.6192,0,155.7292,5.208333,4572.935862,160.937533,94.12,93.05,91.57,54.18,2.146629,2.146629,-297.7432,197.9167,-376.7363,192.7083,3233.073,11.44387,-3570.313,100.48,353.3246,95.55845,129.2725,88.90741,174.963,43.26389,40.3125,40.39931,1.811342,1.180555,1.550926,60,56.40625,55.9375,130.8712,158.3336,145.5208,2.210648,2.233796,2.262732
37652388,1655213301786 ,315.5382,0,154.9479,5.121528,4645.35338,160.069428,94.15,93.05,91.57,54.18,2.001953,2.001953,-293.9814,197.9167,-395.5439,192.7083,3233.073,10.48901,-3577.836,100.48,350.4022,95.77546,144.5692,92.6713,165.1259,41.25,41.33681,42.30903,1.805555,1.163195,1.510416,60,60,56.45833,131.1994,160.4901,146.9908,2.1875,2.181712,2.262732
37652389,1655213303786 ,298.0324,0,154.6875,5.208333,4387.632993,159.895833,94.15,93.05,91.6,54.18,2.088759,2.088759,-278.9346,198.6111,-388.0205,193.5764,3236.835,9.693287,-3570.313,100.48,349.2332,97.58392,141.2439,90.53842,151.8519,41.5625,40.81597,41.09375,1.788195,1.13426,1.510416,58.97569,59.54861,56.26736,128.0817,158.1677,144.0509,2.193288,2.158565,2.262732
37652390,1655213305785 ,312.6447,0,155.2952,5.208333,4602.755273,160.503533,94.15,93.05,91.6,54.18,2.103226,2.103226,-263.8887,198.2639,-391.7822,193.5764,3238.715,9.331597,-3566.551,100.48,350.6944,97.9456,140.8448,75.85925,170.2222,42.08333,41.12847,41.09375,1.799768,1.145834,1.527778,56.07639,58.50694,55.24306,129.5585,158.0018,146.8438,2.24537,2.222222,2.262732
37652391,1655213307786 ,308.015,0,155.2952,5.121528,4534.59683,160.416728,94.15,93.07,91.6,54.18,1.955657,1.955657,-301.5039,198.6111,-380.4971,193.5764,3233.074,9.403935,-3574.074,100.48,354.7859,95.2691,131.5338,91.16574,173.8963,42.29167,41.12847,41.23264,1.770834,1.168982,1.539352,56.33681,50.29514,55.24306,131.6917,158.1677,141.6991,2.181712,2.193288,2.24537
37652392,1655213309787 ,307.0023,0,154.4271,5.121528,4519.687861,159.548628,94.15,93.07,91.57,54.16,2.016421,2.016421,-301.5039,199.3056,-361.6904,193.5764,3233.072,9.31713,-3566.551,100.48,357.1238,96.49884,142.175,91.2912,166.3111,41.94445,40.64236,41.94445,1.788195,1.168982,1.539352,56.57986,53.28125,55.76389,131.3635,157.67,143.463,2.251158,2.216435,2.262732
37652393,1655213311786 ,313.5128,0,155.9896,5.121528,4615.535442,161.111128,94.17,93.07,91.57,54.16,2.074291,2.074291,-278.9346,199.3056,-361.6904,193.8658,3250,8.883101,-3570.313,100.48,357.1238,97.07755,142.9731,80.87778,168.6815,42.62153,42.91667,41.31944,1.828704,1.116898,1.527778,55.24306,54.98264,56.44097,129.3944,157.67,143.463,2.210648,2.216435,2.262732
37652394,1655213313786 ,312.6447,0,154.5139,5.208333,4602.755273,159.722233,94.15,93.07,91.62,54.18,2.016421,2.016421,-267.6504,200,-369.2129,194.4444,3240.596,7.971643,-3559.027,100.48,356.2471,93.75,142.8401,87.40186,171.5259,41.85764,42.01389,41.31944,1.81713,1.145834,1.545138,56.23264,57.10069,56.05903,129.3944,158.4995,145.6678,2.210648,2.193288,2.251158
37652395,1655213315787 ,298.1771,0,155.3819,5.121528,4389.763266,160.503428,94.15,93.07,91.62,54.18,1.973018,1.973018,-320.3125,199.6528,-361.6904,194.4444,3218.026,9.910301,-3559.027,100.48,354.7859,95.55845,129.2725,88.28009,173.7778,41.94445,42.34375,40.92014,1.81713,1.13426,1.52199,55.05208,60,56.97917,130.0508,158.3336,141.6991,2.216435,2.210648,2.251158
