,real,fitted
0,4281.136989,4284.0273
1,4379.113371,4312.0405
2,4289.656611,4286.3506
3,4381.243645,4355.4946
4,4334.384991,4330.9546
5,4261.968945,4271.8564
6,4376.98457,4298.3877
7,4496.25927,4327.067
8,4313.086674,4283.1113
9,4238.538882,4295.1978
10,4472.830679,4350.8403
11,4387.632993,4345.487
12,4428.102299,4396.5537
13,4293.917157,4332.5664
14,4230.019261,4325.9194
15,4338.645538,4317.984
16,4402.541962,4306.9526
17,4104.353741,4308.613
18,4313.086674,4345.715
19,4293.917157,4319.402
20,4310.9564,4288.272
21,4453.661163,4253.9507
22,4208.719471,4222.7593
23,4168.251638,4228.213
24,4210.849745,4259.0127
25,4185.29088,4252.0635
26,4411.061584,4298.2686
27,4274.747641,4227.404
28,4193.810502,4197.915
29,4168.251638,4260.677
30,4185.29088,4229.9795
31,4366.334675,4253.8833
32,4253.447852,4244.2817
33,4264.097746,4214.5796
34,4115.003636,4125.5186
35,4193.810502,4189.8896
36,4072.405529,4142.5366
37,4219.369366,4219.7134
38,4097.964393,4167.789
39,4110.743089,4178.166
40,4249.187305,4197.2983
41,4125.652058,4209.984
42,4123.523257,4221.252
43,4172.510712,4197.518
44,4206.59067,4234.1997
45,4283.267263,4212.266
46,4217.239093,4161.3057
47,4040.4573169999994,4187.567
48,4215.110291,4236.4834
49,4059.625361,4171.3237
50,4321.606295,4182.582
51,4146.95332,4144.119
52,4219.369366,4158.526
53,4061.755634,4127.973
54,4072.405529,4100.3745
55,4051.1057390000005,4135.6045
56,4136.303425,4189.102
57,4230.019261,4213.3877
58,4066.0147090000005,4200.345
59,4166.121364,4241.9053
60,4315.215475,4265.831
61,4261.968945,4294.3403
62,4208.719471,4231.159
63,4215.110291,4236.5166
64,4168.251638,4178.636
65,4268.356821,4199.69
66,4012.768179,4156.5005
67,4136.303425,4195.343
68,4093.703846,4160.0293
69,4281.136989,4185.7085
70,4123.523257,4217.504
71,4129.912605,4306.416
72,4247.058504,4262.3013
73,4153.341196,4245.3906
74,4400.413161,4273.8022
75,4176.771259,4196.9043
76,4168.251638,4188.949
77,4140.5625,4139.4526
78,4238.538882,4201.5244
79,4355.683308,4197.851
80,4187.421154,4178.5347
81,4076.6646030000006,4190.601
82,4406.802509,4230.187
83,4023.416602,4129.019
84,4264.097746,4202.37
85,4193.810502,4176.7676
86,4236.408609,4221.4873
87,4217.239093,4247.0063
88,4187.421154,4275.0215
89,4423.841752,4297.9614
90,4385.504192,4293.668
91,4261.968945,4312.278
92,4285.397536,4304.6104
93,4494.128996,4361.7246
94,4376.98457,4321.8945
95,4440.880995,4356.1763
96,4285.397536,4315.021
97,4285.397536,4363.107
98,4615.535442,4384.2466
99,4370.59375,4288.3555
100,4161.860817,4296.116
101,4445.141541,4389.875
102,4006.3773590000005,4262.276
103,4504.778891,4395.547
104,4055.366286,4178.5347
105,4315.215475,4305.397
106,4402.541962,4237.8013
107,4134.17168,4243.126
108,4381.243645,4290.857
109,4402.541962,4278.9067
110,4389.763266,4319.008
111,4185.29088,4313.4243
112,4313.086674,4398.181
113,4411.061584,4338.584
114,4438.750721,4282.8438
115,4225.758714,4257.2925
116,4285.397536,4314.456
117,4323.735096,4246.935
118,4268.356821,4228.069
119,4174.640986,4243.4194
120,4291.786884,4249.6377
121,4146.95332,4292.7925
122,4349.295433,4326.4097
123,4336.515264,4302.6626
124,4313.086674,4300.004
125,4296.045959,4245.595
126,4232.149534,4236.902
127,4281.136989,4321.498
128,4509.037966,4341.918
129,4261.968945,4292.9834
130,4272.617368,4286.0083
